,Zip,Emp Const Extr Change
27400,78744,0.005919003115264798
6476,21012,-0.020608439646712464
15819,48141,0.3584905660377358
7123,23224,0.056384248210023864
27793,80002,-0.18072844628861226
12194,37760,-0.06585612968591692
11515,35761,-0.016765285996055226
16164,48854,-0.006386861313868613
20869,61080,-0.013392857142857142
16418,49418,-0.13043478260869565
24406,70815,-0.07870791628753412
14245,44134,0.026975683890577508
7914,25504,0.06860158311345646
7572,24541,-0.10679611650485436
16436,49445,0.08562019758507135
2889,11411,-0.172
11516,35763,0.0861344537815126
4777,15801,-0.24131944444444445
15256,46802,0.050682261208576995
10985,33837,0.926829268292683
2709,10570,-0.2801120448179272
26979,77836,-0.08976510067114093
4884,16101,0.09461663947797716
31258,95242,0.01695906432748538
2487,08736,-0.06206896551724138
19370,57078,-0.013733905579399141
77,00772,-0.1709913506320692
22237,64113,0.09649122807017543
21107,61571,-0.0515818431911967
23373,67530,0.18632075471698112
26706,77055,-0.059114693819827466
30875,93637,0.07740358500814774
6801,22066,-0.2311111111111111
30390,92106,0.11678832116788321
15325,46992,0.05859872611464968
2184,07740,0.05088872656440224
18581,55369,-0.11155152887882219
26357,76207,0.08879492600422834
26354,76182,-0.03686635944700461
10660,32962,-0.17436489607390301
31586,95842,-0.06343577620173364
28232,81301,0.007067137809187279
6584,21244,-0.17805383022774326
32543,98506,-0.12804878048780488
9442,29649,-0.10911701363962671
32816,99163,0.350187265917603
10602,32801,-0.2545454545454545
21280,62025,-0.015267175572519083
15272,46901,0.2100954979536153
16634,49855,0.009470512268618166
16148,48836,0.06952841596130592
2021,07071,0.2281639928698752
11150,34446,-0.028290282902829027
10953,33761,-0.022865853658536585
9883,30577,0.38271604938271603
8499,27549,0.0125
1974,07013,-0.08076358296622614
15044,46176,-0.06378233719892953
6836,22306,0.16641857695742782
31852,96815,-0.12759643916913946
20486,60106,-0.20601281419418432
13989,43537,-0.003147128245476003
8776,28203,-0.03333333333333333
11162,34474,-0.0765143464399575
10401,32305,-0.02363896848137536
29403,86314,-0.0418049104180491
7249,23701,0.07758620689655173
30795,93454,0.05373342637822749
940,03824,0.5989304812834224
30062,90062,0.061855670103092786
17735,53132,0.07963936889556725
22457,64804,0.11722365038560412
30583,92612,-0.11025641025641025
13621,42276,-0.009725906277630416
27862,80210,-0.02727272727272727
