,Zip,PCI Change
9406,29585,-0.06207372635648212
27173,78248,0.007754545284675897
6844,22315,0.0120508166969147
16244,49048,-0.02874081100308276
1048,04072,0.03860254474875997
6580,21236,0.0010312405216863815
30056,90049,-0.045848041260185345
1069,04105,0.004361357525458895
27253,78504,-0.05251141552511415
6544,21158,0.03143279354719537
18152,54501,0.0589145441561533
27976,80525,0.010491425277417496
6678,21704,0.03955105526412102
29172,85298,0.006284367635506678
26958,77662,0.029919760641914865
1838,06437,0.03307006964167607
7228,23601,-0.03131439505445982
10164,31605,-0.024800068061936364
510,02189,-0.04211205307777368
1720,06071,-0.027463931861637408
16015,48506,0.03573599124832867
8407,27263,-0.02922745520415157
13161,40505,0.005054493760859264
30586,92618,0.0050249178022705185
29333,85748,0.018742030188903056
14167,44026,0.016940663484768134
15260,46806,-0.0397688388715687
29701,88007,0.050731707317073174
24714,71909,0.03516183139715475
8954,28539,0.030659571351852755
4195,14611,0.04619459375243437
16204,48912,0.0011019547719432732
26152,75701,0.0011656370206317753
535,02364,-0.020852459016393442
2808,11010,-0.008439545297967619
7134,23236,-0.0038046547573046398
1896,06705,-0.004618439226519337
28989,84663,0.0013083690503045342
6401,20746,-0.009784600490958752
29892,89118,0.014936519790888723
2028,07078,-0.03537908818314318
23175,67042,-0.02714829586656998
10108,31405,0.009619886774783978
18115,54452,0.024698333266072077
10316,32092,-0.008880405012864138
10892,33570,-0.06096887087861485
16043,48624,-0.05180863477246208
27315,78610,-0.01284497011318835
28831,84067,-0.0026647717178895007
26923,77583,0.009107665618562289
26699,77047,-0.008144490863822424
6809,22151,0.024374280029322442
2509,08816,-0.025027380980122575
18451,55044,-0.01247630271045755
30883,93647,-0.053715395823215155
18631,55427,-0.0038236348428725055
31101,94608,-0.008533621388063732
30647,92860,0.03648126172338552
21110,61603,-0.01752873563218391
10797,33324,0.010413908745918278
17770,53202,0.09105595535320898
5885,18914,9.93961682777129e-05
743,02920,0.0023320895522388058
2907,11429,0.0424087843679751
23270,67301,-0.0027948818725708545
9659,30143,0.0010818120351588911
2504,08807,-0.01971326164874552
22924,66221,0.02995312678632674
20700,60607,-0.019388850922581274
32390,98229,-0.004646840148698885
27814,80026,0.02518498218690052
10328,32119,-0.02945722739919622
31082,94585,-0.013589066625252368
13089,40245,0.04078026235302114
11618,36067,-0.04747823229834073
9399,29577,0.037900603808639105
14488,44839,-0.016796034179114214
13858,43204,0.005263666215955186
20568,60410,-0.026712820847756516
8463,27502,0.052410589321342425
17782,53214,-0.014841199168892847
27325,78620,-0.018492315198828983
32388,98225,-0.007271095152603231
320,01550,-0.03367516009135283
5426,17512,0.02617292668932339
25314,73130,-0.015168478457149049
2890,11412,-0.024131683435488223
2845,11222,0.0367853488311075
17787,53219,0.000955033824114604
32212,97756,-0.018793087165926904
20635,60487,0.020705770994172805
10873,33534,0.06602475928473177
5524,17837,-0.024299220434566265
7,00617,-0.05013161043311797
16415,49412,-0.055288164877205975
28095,80906,-0.024160298327161954
20587,60435,-0.007291082445316881
6442,20852,0.04789014186977083
5046,16510,-0.005865338261288768
2569,10013,0.16050156739811913
10581,32750,-0.047893866347608824
25299,73110,-0.03160650832242379
2810,11021,-0.014228170478170479
10794,33321,0.00924511301758922
29430,86413,0.03649087728067983
4082,14224,0.00838943917656597
14643,45244,0.032282879048180724
27984,80537,-0.03257650542941757
58,00728,0.018580702932616967
30553,92544,-0.040671971706454466
17626,52761,0.032678142676921824
399,01876,0.058343922066920795
32354,98121,-0.04002062757844731
26861,77477,0.0015033317081098651
29527,87107,0.012998512431819792
8978,28580,0.025613296146621892
9718,30260,-0.01726076689531092
14427,44667,-0.02595894863936101
5609,18017,-0.003024444998752806
275,01440,-0.033960855863327255
32166,97603,0.0008800880088008801
633,02703,0.015305955229261578
31455,95603,0.047265987025023166
32372,98178,0.03878283878283878
2629,10303,-0.030775309509175522
12089,37363,0.0360075180532199
1544,05468,0.011014894354000692
11015,33884,-0.002841005174687997
763,03054,-0.034469857581123885
6091,19473,0.0030902179560806193
5547,17870,-0.016835016835016835
5045,16509,0.013740264674222758
25900,75071,0.01570209464701319
20567,60409,-0.03952360370743889
25618,74146,0.0519705500216544
22544,65109,-0.0019531919268067025
8506,27560,0.024959489833254928
11810,36613,0.007327441548271619
17606,52732,0.04138542018224772
26964,77703,0.003831717234907726
12277,37923,-0.009911713544914503
13864,43211,-0.0039171309192200555
30513,92371,-0.03469012251492169
31625,95954,0.013712279369899412
4399,15063,0.031025555369968264
14244,44133,0.027249018255942923
531,02356,-0.025537378733117747
23247,67206,-0.02461838259175057
24670,71753,0.06939395583527752
409,01906,-0.008743831702882867
5918,19003,-0.028321108394458026
10514,32571,-0.027253053589113452
10942,33711,0.08510425020048115
7155,23324,0.008108402263822378
30442,92243,-0.003289301937033363
30392,92108,0.009382813853885574
30874,93636,0.006195215184867858
89,00795,0.0337979523868262
30559,92555,-0.014671714998709234
20705,60612,-0.02130480501074384
24526,71302,0.025561097256857856
18069,54301,0.0019882833303745784
92,00907,0.10345062506386893
21407,62294,-0.006368615462998344
31115,94707,-0.00765471852667853
28334,82072,0.004135970014217397
22251,64130,0.025920689423012185
26263,76008,0.022925467526371698
2854,11232,0.050347888018407935
12122,37415,0.0008089251407192693
12679,38930,0.1322259622420606
24980,72455,0.021704221704221704
27283,78570,0.011084636900445458
27280,78566,0.030963124319278047
10007,31021,-0.011455894805000748
13308,41102,0.18137299771167048
12631,38829,-0.09012710935787858
27309,78602,-0.04824136818328493
27156,78229,-0.00238168746967759
3156,12118,0.048266085814058016
6445,20855,0.03418871533312082
25592,74104,0.023752577319587628
10404,32310,0.012371263501632755
27487,79022,-0.06008163959520368
707,02871,0.07737695481147462
12850,39452,-0.001139572907892781
22199,64064,-0.019043251592971617
17686,53051,0.007004264693422205
16821,50158,0.026292687209200246
2010,07059,-0.019061755974251197
783,03106,-0.023258449247854047
10926,33626,-0.023225487330530387
10934,33703,0.06677388781986847
29094,85044,-0.00579459346076195
29331,85746,0.014232867264405293
10893,33572,-0.044186417260070145
25965,75180,-0.014795474325500435
12887,39565,0.04264903201073414
10660,32962,-0.024805222152032007
11223,34758,-0.06295522198999304
9573,30005,-0.039513544364929536
10376,32219,0.018055625408640547
25897,75068,0.06918463515636156
31983,97217,0.040833273160517006
9361,29510,0.007021063189568706
2482,08731,-0.006382909434330934
26143,75672,-0.01411265652404454
13823,43119,0.006374371756629756
9370,29527,0.034920833594092246
24713,71901,-0.01394700139470014
29316,85716,0.009378849898660733
28849,84088,0.017074713162887344
8624,27889,-0.01888781919039105
13090,40258,0.01587955335896028
30048,90041,0.028311927907471793
21117,61614,-0.04018135166778766
12045,37311,-0.006612653401644227
2889,11411,0.026069753342480614
26711,77060,-0.02375095427941301
13741,42754,-0.007690708792350863
32606,98604,0.018098493086841697
9068,28704,0.09933799326898184
30432,92227,0.022603781786568137
1068,04103,-0.02206000064034835
31085,94588,-0.004631857555341675
296,01510,0.03919259331959302
15881,48220,0.024398704902867715
31574,95827,-0.036720507053772236
5668,18202,-0.0504089878781906
2977,11722,-4.5587162654996354e-05
31032,94521,0.001826695482144695
32311,98036,0.009248170326014637
29291,85635,0.022896063416323546
8499,27549,-0.020806814843826495
9624,30087,0.023179357752465712
21353,62223,-0.015591483912277894
6454,20876,0.014471658502449265
6422,20782,0.03304424195850258
11186,34652,0.036032086967956865
23875,68803,0.03646964673602378
6248,20112,0.008037622915775972
29199,85339,-0.02432845599475868
8526,27597,-0.01482010534773681
11133,34286,-0.05006819481719389
30644,92843,0.006854531607006854
371,01776,0.08304797069946104
2445,08534,0.06716119006040021
9360,29506,0.01599773883550028
16252,49058,-0.010902104463607525
17189,51103,-0.038860559170036925
20465,60074,0.017813070071896125
14207,44092,0.017112093828109978
24441,71047,0.03351250292124328
32894,99517,-0.08923842203440573
24104,70001,0.04617006085744399
31578,95831,-0.0097137811022804
31921,97068,-0.003270263957019388
21989,63501,0.044012171267115846
9301,29388,-0.03502480719162941
17106,50703,0.0053687999511927275
10378,32221,-0.01774937877174299
13081,40222,-0.0006128606449179709
14161,44012,-0.01980028391012776
24858,72150,0.06621189511831166
22179,64029,0.014375
488,02139,-0.017036330206902973
20703,60610,0.044616649054831516
28284,81601,-0.002829496629056485
29428,86409,0.038805342307287834
3340,12528,-0.02144957100857983
26021,75407,-0.02662599950539939
9459,29671,-0.019371635336686965
6013,19136,0.06410385936552838
9054,28681,-0.0038188494492044063
4152,14527,0.02664145047897052
23354,67502,0.015318959202522374
26388,76266,0.057049613748089395
4544,15401,-0.02850040714867355
6086,19462,-0.011335136464224243
20541,60181,-0.012377692493863016
14991,46077,0.03255295857419962
2190,07753,0.029112035302708023
26776,77356,-0.022672138209354525
11955,37083,0.027964999408773797
7082,23116,0.0019329398726836938
14088,43812,-0.039006279506806615
6089,19468,-0.016480462453448946
18607,55403,0.009123197994289296
24480,71203,0.00492044513933597
4810,15906,-0.029847470646329418
30893,93662,0.004847396768402155
27261,78538,-0.04393792434529583
31656,96002,-0.004406871121503732
17960,53963,-0.022581106188366444
30582,92610,-0.0030180017427897388
29920,89178,-0.04008034054799448
336,01603,0.03641261436997817
10823,33426,-0.015740166701109046
10732,33137,0.03400516795865633
20616,60465,0.03334610962054427
493,02144,0.05859324362863291
9051,28677,-0.04508376886631173
32151,97527,0.031072805624858243
15779,48083,0.026765081226502948
9174,29053,-0.08081562933703428
9421,29615,-0.02714858567248293
26928,77590,-0.011020408163265306
11111,34224,-0.05782531463774141
10944,33713,-0.011297798377752027
13280,41048,0.04735024771055397
13580,42134,-0.027646969466808446
477,02126,0.007506416775630781
9952,30747,0.03750311487665089
21827,63042,-0.008349917798736697
30144,90670,0.0683370154649528
5490,17756,0.06257685476157945
30399,92116,0.028284310958053407
5040,16504,0.003014015170543025
3688,13219,0.009415130747222037
10881,33547,-0.053393157599551315
10506,32563,-0.004675849867306963
28554,83318,-0.013660595290981787
21239,61920,-0.0572149969034348
31342,95403,0.02216250290302246
25271,73072,-0.055051326990485726
3999,14052,-0.003071374228634225
3680,13207,0.019948581222624263
13170,40515,-0.013778926021612911
18127,54467,0.0018345930872532472
28009,80640,0.009893803957521582
10325,32114,0.0406335101046295
21719,62896,-0.019335647000495785
11631,36092,0.026999952296904068
15926,48340,-0.023876584304186405
23580,68106,-0.0038539695886763365
6389,20723,0.0052636417965338115
2260,07950,0.019175879396984924
31986,97220,0.020426949546311315
10605,32805,0.026127766881479407
3021,11782,0.028533405512699058
19370,57078,0.005081937028171607
27183,78258,-0.03515107003692596
8471,27511,-0.005261301510787138
20362,59840,-0.05376431085399895
32352,98118,0.004181004181004181
13094,40299,0.003243543803286791
3053,11946,0.011254113775270334
17698,53074,-0.0057271946291641476
2633,10307,-0.04949345715491769
28377,82414,0.01781207182519651
27089,78102,0.07941434451116659
2687,10528,-0.03698332124728064
26889,77520,-0.0032601143712254824
3470,12839,0.027331189710610933
10631,32836,0.04092558577124681
31102,94609,0.07000690651095624
32337,98092,0.00463225562488183
32926,99577,-0.03221950971416947
31998,97236,0.000499850044986504
10862,33496,0.07799043859210768
20754,60803,-0.04882369906472745
2057,07204,-0.020582040972621098
8377,27106,0.0476115896632733
9988,30909,-0.03143550998381004
6390,20724,0.0031547952888390353
30089,90242,0.03013977128335451
339,01606,0.01366770772132719
9654,30134,0.0002791996277338297
30472,92301,-0.008374164810690423
16300,49120,0.0026355943958940213
9,00623,0.014026312928128738
3966,13903,0.03509797047251763
472,02120,0.01805635422656699
30772,93422,0.004732562571464871
20688,60561,0.0015534459376155838
25783,74820,0.027647483312285767
20685,60558,-0.001635971125952911
2879,11370,-0.029379819702400348
20418,60002,-0.0025513231280408213
13806,43082,-0.031514438198827086
5947,19040,0.0008300285898736512
20577,60423,-0.01787264464075984
25981,75214,0.049166762883423774
5998,19121,0.008494011721736175
20129,59102,-0.0010905125408942203
25298,73109,-0.009378477189635987
10620,32824,0.0021728502362974634
30406,92123,-0.009255819712729074
11162,34474,0.08168910947479761
26275,76021,0.013894144996485917
26117,75604,0.021836648328396106
11549,35954,0.03124092677544858
654,02760,-0.0014063486596636243
8763,28152,0.026167554281032363
7010,22960,0.007651996475444047
533,02359,0.0011661649445393648
2987,11735,-0.004991908719383417
1727,06084,-0.007496592457973648
8391,27217,0.030548872601130195
11637,36108,-0.02849759027729273
30410,92128,-0.0018773183751017823
2117,07524,0.014603130240357741
31841,96786,0.00906142693628386
18075,54313,-0.031995196431634926
20562,60403,-0.002807896669402566
18870,56071,0.036865290980755853
11163,34475,0.015541673015389303
27709,79720,0.06132253711201079
4073,14215,0.04838994525225172
11110,34223,0.02904678738854674
9073,28711,-0.033302235022106844
12983,40004,0.04168789268127016
20728,60637,-0.038843457943925234
5312,17110,-0.002921250543849835
2997,11751,0.03904602109300096
1935,06811,0.012560019531779834
30914,93725,0.007853822728001282
15963,48420,-0.011580410157072472
2648,10459,0.02641135688345989
14540,45036,-0.008908365961421028
30527,92394,-0.0019414782970461795
9745,30307,0.020760015641107674
6076,19438,-0.010104974001765918
8457,27407,-0.0070887900997236575
27798,80010,-0.0026219192448872575
9849,30534,0.025950062814070352
5922,19008,0.0052237710931768155
3445,12804,0.023055202159679773
29079,85023,-0.0329383060299756
14748,45431,0.029710711493354185
30986,94114,0.004113201357608792
3344,12533,0.024602793705322184
6576,21229,0.004970178926441352
32883,99502,0.031174499259605644
31315,95358,0.003961191802055227
14230,44119,0.008768617579190266
27491,79029,0.022130362454000102
13714,42642,0.03291227256924325
27143,78216,0.01391959981150542
4369,15025,0.061952772618731757
27870,80220,0.034139306397458144
31090,94595,-0.02525132589250376
18461,55056,0.03851293888956384
6153,19707,-0.0051660648528833435
5404,17362,-0.0062988158226253465
31408,95503,0.004923123532530486
21174,61801,0.039723972397239724
6834,22304,-0.005133100010605579
2818,11101,0.07335548647586379
14873,45807,0.03599288850186858
32762,99037,0.030577134546486466
7128,23229,0.013097636929840631
26918,77575,-0.031459296292802565
26579,76710,0.008770947635576457
15936,48360,0.025643200452360758
22224,64093,-0.023324729949335626
21835,63051,0.007452109907191515
14319,44321,0.08709686318867768
30181,91001,0.0071544636577498604
20708,60615,-0.016250708173062588
23858,68776,0.016224524649891835
2941,11566,0.03565084226646248
10668,33004,-0.04626741936757333
30959,94040,0.058494848961061635
9666,30153,-0.001307583987125327
2071,07407,-0.07341978324876276
10796,33323,-0.009823669775945953
3029,11791,0.026526126486162455
28089,80863,0.03142550640499779
9557,29926,-0.004909944999173807
3209,12189,0.0003829683528879295
31127,94903,-0.0060393171874037095
31219,95130,0.0076565490839485915
15743,48035,-0.016643013804670367
18356,54880,0.003841488071168621
2468,08629,-0.024419628376812937
71,00757,0.0276231029588383
26357,76207,0.01116361893021026
8796,28270,0.00882945934045561
31015,94503,0.018951425818194798
6141,19604,-0.03278802645318482
29211,85351,-0.018544105883208494
9883,30577,0.0015148236312486475
32414,98258,-0.018540271119718087
6400,20745,0.002838468720821662
28002,80620,-0.01791466515964962
21890,63132,0.011157933794492592
16142,48827,0.0008600670852326481
29922,89183,-0.033598158598158595
9540,29902,-0.04551516002245929
6522,21108,-0.010046784382208998
6575,21228,-0.00720735647419435
30618,92692,-0.04277583187390543
30133,90605,-0.024406361513723072
12655,38866,-0.02150205307077575
1990,07032,-0.010076335877862596
25916,75098,-0.0020233358062993188
9437,29642,0.02936397400185701
14382,44515,-0.023432923257176334
27958,80487,-0.01839971258468487
26630,76901,0.03677661297195943
20978,61364,0.004390090937597993
