DATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Delaware,D.C.,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Mass.,Michigan,Minn.,Mississippi,Missouri,Montana,Nebraska,Nevada,N. Hamp.,N. Jersey,N. Mexico,N. York,N. Carolina,N. Dakota,Ohio,Oklahoma,Oregon,Penn.,Rhode Is.,S. Carolina,S. Dakota,Tennesee,Texas,Utah,Vermont,Virginia,Wash.,W. Virgina,Wisconsin,Wyoming,TOTAL US,,,
36532.00,2,3,0,1,16,19,0,0,0,0,0,0,0,0,0,18,4,65,0,0,0,2,0,7,0,7,1,0,0,0,59,3,0,8,12,79,0,11,0,0,0,0,271,15,0,1,0,13,0,42,659,786,,
36539.00,2,6,0,0,16,18,0,0,0,0,0,0,0,0,0,18,4,67,0,0,0,2,0,8,0,6,1,0,0,0,58,3,0,7,10,80,0,14,0,0,0,0,268,14,0,0,0,13,0,41,656,781,,
36546.00,1,5,0,0,17,19,0,0,0,0,0,0,0,0,0,18,5,67,0,0,0,2,0,11,0,5,1,0,0,0,59,3,0,7,10,76,0,15,0,0,0,0,273,14,0,0,0,8,0,36,652,777,,
36553.00,1,4,0,0,17,17,0,0,0,0,0,0,0,0,0,17,4,66,0,0,0,2,0,12,0,3,1,0,0,0,62,1,0,7,10,76,0,13,0,0,0,0,263,13,0,0,0,5,0,36,630,755,,
36560.00,0,4,0,0,15,18,0,0,0,0,0,0,0,0,0,17,4,63,0,0,0,2,0,11,0,3,1,0,0,0,64,0,0,8,7,73,0,13,0,0,0,0,272,14,0,1,0,4,0,36,630,757,,
36567.00,0,5,0,0,18,18,0,0,0,0,0,0,0,0,0,20,3,66,0,0,0,3,0,10,0,3,1,0,0,0,68,0,0,9,6,72,0,13,0,0,0,0,276,14,0,0,0,3,0,35,643,762,,
36574.00,0,5,0,0,16,17,0,0,0,0,0,0,0,0,0,20,4,69,0,0,0,3,0,9,0,3,1,0,0,0,70,0,0,9,7,71,0,12,0,0,0,0,283,14,0,0,0,7,0,33,653,773,,
36581.00,1,5,0,0,18,16,0,0,0,0,0,0,0,0,0,14,5,72,0,0,0,3,0,9,0,3,1,0,0,0,65,0,0,9,7,68,0,12,0,0,0,0,278,14,0,0,0,6,0,32,638,760,,
36588.00,2,7,0,0,20,19,0,0,0,0,0,0,0,0,0,20,5,75,0,0,0,3,0,9,0,3,1,0,0,0,65,1,0,11,5,77,0,11,0,0,0,0,284,15,0,0,0,5,0,32,670,790,,
36595.00,2,7,0,0,18,18,0,0,0,0,0,0,0,0,0,16,7,74,0,0,0,1,0,7,0,3,1,0,0,0,64,1,0,8,4,79,0,11,0,0,0,0,276,16,0,0,0,4,0,27,644,768,,
36602.00,0,5,0,0,18,16,0,0,0,0,0,0,0,0,0,19,7,65,0,0,0,1,0,9,0,3,1,0,0,0,68,1,0,10,4,83,0,10,0,0,0,0,269,16,0,2,0,6,0,28,641,764,,
36609.00,0,5,0,0,18,18,0,0,0,0,0,0,0,0,0,19,7,65,0,0,0,2,0,9,0,4,1,0,0,0,69,1,0,9,4,77,0,10,0,0,0,0,268,16,0,2,0,7,0,32,643,768,,
36616.00,0,5,0,0,16,17,0,0,0,0,0,0,0,0,0,21,7,65,0,0,0,2,0,11,0,4,1,0,0,0,71,1,0,13,4,77,0,10,0,0,0,0,269,15,0,2,0,7,0,32,650,775,,
36623.00,0,6,0,2,17,18,0,0,0,1,0,0,0,0,0,21,7,74,0,0,0,2,0,8,0,6,1,0,0,0,70,1,0,13,2,78,0,9,0,0,0,0,282,15,0,2,0,9,0,31,675,797,,
36630.00,0,4,0,2,17,19,0,0,0,1,0,0,0,0,0,19,7,75,0,0,0,2,0,8,0,6,1,0,0,0,71,4,0,13,6,80,0,6,0,0,0,0,290,15,0,2,0,9,0,29,686,809,,
36636.00,3,5,0,2,20,19,0,0,0,1,0,0,0,0,0,19,8,74,0,0,0,2,0,10,0,6,1,0,0,0,67,4,0,12,6,86,0,6,0,0,0,0,288,15,0,2,0,10,0,28,694,817,,
36644.00,3,3,0,3,19,17,0,0,0,1,0,0,0,0,0,19,9,68,0,0,0,2,0,10,0,7,1,0,0,0,68,3,0,9,6,88,0,1,0,0,0,0,280,13,0,2,0,12,0,25,669,798,,
36651.00,3,5,0,5,21,17,0,0,0,1,0,0,0,0,0,19,9,68,0,0,0,2,0,9,0,6,1,0,0,0,67,3,0,9,6,92,0,1,0,0,0,0,294,14,0,2,0,12,0,28,694,833,,
36658.00,2,6,0,5,20,18,0,0,0,1,0,0,0,0,0,19,7,65,0,0,0,2,0,9,0,6,1,0,0,0,72,3,0,9,5,93,0,2,0,0,0,0,287,16,0,3,0,11,0,28,690,830,,
36665.00,2,6,0,7,20,17,0,0,0,1,0,0,0,0,0,19,7,63,0,0,0,2,0,9,0,6,1,0,0,0,80,3,0,8,5,97,0,3,0,0,0,0,294,16,0,3,0,11,0,30,710,849,,
36672.00,1,4,0,7,20,16,0,0,0,1,0,0,0,0,0,20,7,71,0,0,0,2,0,9,0,4,1,0,0,0,77,3,0,12,5,97,0,3,0,0,0,0,305,17,0,3,0,11,0,33,729,864,,
36679.00,1,6,0,7,20,16,0,0,0,1,0,0,0,0,0,19,7,75,0,0,0,2,0,7,0,4,1,0,0,0,74,3,0,12,8,93,0,2,0,0,0,0,307,17,0,4,0,10,0,35,731,866,,
36686.00,1,6,0,7,19,17,0,0,0,0,0,0,0,0,0,19,7,69,0,0,0,2,0,9,0,3,1,0,0,0,65,3,0,13,8,93,0,2,0,0,0,0,297,15,0,4,0,11,0,36,707,840,,
36693.00,1,6,0,6,19,16,0,0,0,0,0,0,0,0,0,19,7,65,0,0,0,2,0,11,0,4,1,0,0,0,77,3,0,10,8,96,0,2,0,0,0,0,313,15,0,4,0,12,0,39,736,871,,
36700.00,1,7,0,6,21,16,0,0,0,0,0,0,0,0,0,18,6,76,0,0,0,3,0,11,0,6,1,0,0,0,75,3,0,10,8,90,0,3,0,0,0,0,316,15,0,4,0,13,0,40,749,893,,
